概念_ths,概念种类,概念代码_ths,自定义领域
石墨电极,行业,307512,制造业
石墨烯,行业,300337,制造业
水泥,行业,307826,制造业
特钢,行业,300845,制造业
无人机,行业,300889,制造业
新材料,行业,300883,制造业
智能制造,行业,308792,制造业
低辐射玻璃（Low-E）,行业,308876,制造业
富士康,知名企业,307954,制造业
苹果,知名企业,300309,制造业
特斯拉,知名企业,301121,制造业
小米,知名企业,301278,制造业
